method,method_label,n_pop,seed,fitness,feasible,wall_s,seed_ms,n_exact_eval,n_surrogate_eval,stopped_at_gen,frac_feasible_init,success
ga_gnn_policy,GA + GNN + policy seeding,10,2029,49.704374,1,6.6105,26.268,601,560,103,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2030,49.704374,1,3.2947,9.702,514,473,93,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2031,49.704374,1,3.1463,10.576,492,434,76,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2032,49.704374,1,3.5123,9.389,602,561,108,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2033,49.704374,1,3.1091,14.484,503,453,83,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2034,49.704374,1,3.6388,10.094,591,537,95,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,16,2025,49.704374,1,4.3583,9.466,729,865,84,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2026,49.704374,1,4.8702,14.064,792,880,97,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2027,49.704374,1,4.7255,8.076,828,958,104,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2028,49.704374,1,3.1264,8.188,513,572,58,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2029,49.704374,1,4.3198,11.682,646,760,80,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2030,49.704374,1,7.3330,19.369,565,625,65,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2031,49.704374,1,7.1486,28.871,548,614,65,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2032,49.704374,1,7.6482,27.260,618,734,70,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2033,49.704374,1,8.7615,27.578,707,822,82,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,16,2034,49.704374,1,9.6064,28.218,772,932,89,0.3125,1
ga_gnn_policy,GA + GNN + policy seeding,25,2025,49.704374,1,7.9590,28.853,641,1393,72,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2026,49.704374,1,8.0479,27.008,628,1274,70,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2027,49.704374,1,7.8385,27.311,601,1107,70,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2028,49.704374,1,10.2213,31.947,857,1854,101,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2029,49.704374,1,8.4721,31.018,697,1437,81,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2030,49.704374,1,7.5135,27.256,605,1176,71,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2031,49.704374,1,8.1316,27.377,660,1290,75,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2032,49.704374,1,8.4245,27.172,677,1366,77,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2033,49.704374,1,8.9823,27.507,726,1513,85,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,25,2034,49.704374,1,8.3907,28.845,684,1301,80,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2025,49.704374,1,8.5837,28.543,660,3002,70,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2026,49.704374,1,7.8988,29.683,597,2815,62,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2027,49.704374,1,8.5803,28.013,663,3154,70,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2028,49.704374,1,8.0351,27.629,605,2836,63,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2029,49.704374,1,7.7103,26.806,565,2643,59,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2030,49.704374,1,9.3430,32.630,719,3424,76,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2031,49.704374,1,8.0232,26.852,600,2719,63,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2032,49.704374,1,7.7867,28.483,569,2645,60,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2033,49.704374,1,7.6754,28.103,560,2658,57,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,50,2034,49.704374,1,8.1247,32.919,600,2857,62,0.3200,1
ga_gnn_policy,GA + GNN + policy seeding,100,2025,49.695191,1,9.3127,35.116,601,5945,62,0.3300,1
