method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga_gnn,GA + GNN surrogate,70,6.663235,567,35.234087
ga_gnn,GA + GNN surrogate,71,6.741681,575,35.502282
ga_gnn,GA + GNN surrogate,72,6.818108,583,35.745960
ga_gnn,GA + GNN surrogate,73,6.898703,591,36.422541
ga_gnn,GA + GNN surrogate,74,6.979841,599,36.429286
ga_gnn,GA + GNN surrogate,75,7.057773,607,36.806133
ga_gnn,GA + GNN surrogate,76,7.134748,615,36.806133
ga_gnn,GA + GNN surrogate,77,7.216441,623,36.806133
ga_gnn,GA + GNN surrogate,78,7.295923,631,37.042796
ga_gnn,GA + GNN surrogate,79,7.376585,639,37.114627
ga_gnn,GA + GNN surrogate,80,7.455342,647,38.016685
ga_gnn,GA + GNN surrogate,81,7.531545,655,38.016685
ga_gnn,GA + GNN surrogate,82,7.612817,663,38.016685
ga_gnn,GA + GNN surrogate,83,7.692983,671,38.018065
ga_gnn,GA + GNN surrogate,84,7.769684,679,38.044377
ga_gnn,GA + GNN surrogate,85,7.851222,687,38.044377
ga_gnn,GA + GNN surrogate,86,7.929487,695,38.044377
ga_gnn,GA + GNN surrogate,87,8.011599,703,38.806705
ga_gnn,GA + GNN surrogate,88,8.090225,711,39.011975
ga_gnn,GA + GNN surrogate,89,8.170152,719,39.011975
ga_gnn,GA + GNN surrogate,90,8.251056,727,39.011975
ga_gnn,GA + GNN surrogate,91,8.370124,735,39.683098
ga_gnn,GA + GNN surrogate,92,8.491358,743,39.683098
ga_gnn,GA + GNN surrogate,93,8.568483,751,40.008041
ga_gnn,GA + GNN surrogate,94,8.648902,759,40.008041
ga_gnn,GA + GNN surrogate,95,8.730897,767,40.861586
ga_gnn,GA + GNN surrogate,96,8.813933,775,40.889994
ga_gnn,GA + GNN surrogate,97,8.897201,783,40.901560
ga_gnn,GA + GNN surrogate,98,8.978748,791,40.901560
ga_gnn,GA + GNN surrogate,99,9.055775,798,41.083935
ga_gnn,GA + GNN surrogate,100,9.132127,806,41.083935
ga_gnn,GA + GNN surrogate,101,9.215005,814,41.448959
ga_gnn,GA + GNN surrogate,102,9.297275,822,41.740512
ga_gnn,GA + GNN surrogate,103,9.380121,830,41.942923
ga_gnn,GA + GNN surrogate,104,9.462343,838,41.942923
ga_gnn,GA + GNN surrogate,105,9.540107,846,42.674741
ga_gnn,GA + GNN surrogate,106,9.620989,854,42.674741
ga_gnn,GA + GNN surrogate,107,9.697417,862,42.837739
ga_gnn,GA + GNN surrogate,108,9.778969,870,43.521028
ga_gnn,GA + GNN surrogate,109,9.853815,878,43.521028
ga_gnn,GA + GNN surrogate,110,9.935842,886,44.671746
ga_gnn,GA + GNN surrogate,111,10.020649,894,44.671746
ga_gnn,GA + GNN surrogate,112,10.101896,902,44.794034
ga_gnn,GA + GNN surrogate,113,10.185955,910,45.538633
ga_gnn,GA + GNN surrogate,114,10.264484,918,45.578877
ga_gnn,GA + GNN surrogate,115,10.387361,927,45.578877
ga_gnn,GA + GNN surrogate,116,10.502735,936,45.578877
ga_gnn,GA + GNN surrogate,117,10.582480,944,47.038793
ga_gnn,GA + GNN surrogate,118,10.665496,952,47.179488
ga_gnn,GA + GNN surrogate,119,10.740374,960,47.179488
ga_gnn,GA + GNN surrogate,120,10.819476,968,47.179488
ga_gnn,GA + GNN surrogate,121,10.900091,976,47.192626
ga_gnn,GA + GNN surrogate,122,10.984299,984,47.798719
ga_gnn,GA + GNN surrogate,123,11.065973,992,47.798719
ga_gnn,GA + GNN surrogate,124,11.147471,1000,48.062594
ga_gnn,GA + GNN surrogate,125,11.229591,1008,48.062594
ga_gnn,GA + GNN surrogate,126,11.304191,1016,48.145452
ga_gnn,GA + GNN surrogate,127,11.385187,1024,48.145452
ga_gnn,GA + GNN surrogate,128,11.466988,1032,48.145452
ga_gnn,GA + GNN surrogate,129,11.550429,1040,48.145452
ga_gnn,GA + GNN surrogate,130,11.634802,1049,48.145452
ga_gnn,GA + GNN surrogate,131,11.720422,1058,48.145452
ga_gnn,GA + GNN surrogate,132,11.803677,1066,48.848256
ga_gnn,GA + GNN surrogate,133,11.899458,1074,48.848256
ga_gnn,GA + GNN surrogate,134,12.021706,1082,48.848256
ga_gnn,GA + GNN surrogate,135,12.113131,1091,48.848256
ga_gnn,GA + GNN surrogate,136,12.197688,1100,48.848256
ga_gnn,GA + GNN surrogate,137,12.288165,1109,48.848256
ga_gnn,GA + GNN surrogate,138,12.416626,1117,49.135526
ga_gnn,GA + GNN surrogate,139,12.505387,1125,49.135526
ga_gnn,GA + GNN surrogate,140,12.587386,1133,49.135526
ga_gnn,GA + GNN surrogate,141,12.667097,1141,49.369572
ga_gnn,GA + GNN surrogate,142,12.749128,1149,49.369572
ga_gnn,GA + GNN surrogate,143,12.823650,1157,49.369572
ga_gnn,GA + GNN surrogate,144,12.901149,1165,49.369572
ga_gnn,GA + GNN surrogate,145,12.983885,1174,49.369572
ga_gnn,GA + GNN surrogate,146,13.072094,1183,49.369572
ga_gnn,GA + GNN surrogate,147,13.159973,1192,49.369572
ga_gnn,GA + GNN surrogate,148,13.249556,1201,49.369572
ga_gnn,GA + GNN surrogate,149,13.375293,1210,49.369572
ga_gnn,GA + GNN surrogate,150,13.502575,1219,49.369572
ga_gnn,GA + GNN surrogate,151,13.588589,1228,49.369572
ga_gnn,GA + GNN surrogate,152,13.675650,1237,49.369572
ga_gnn,GA + GNN surrogate,153,13.762461,1246,49.369572
ga_gnn,GA + GNN surrogate,154,13.853290,1255,49.369572
ga_gnn,GA + GNN surrogate,155,13.978199,1264,49.369572
ga_gnn,GA + GNN surrogate,156,14.100376,1273,49.369572
ga_gnn,GA + GNN surrogate,157,14.182008,1282,49.369572
ga_gnn,GA + GNN surrogate,158,14.265364,1290,49.369572
ga_gnn,GA + GNN surrogate,159,14.351760,1299,49.369572
ga_gnn,GA + GNN surrogate,160,14.438503,1308,49.369572
ga_gnn,GA + GNN surrogate,161,14.526079,1317,49.369572
ga_gnn,GA + GNN surrogate,162,14.611991,1326,49.369572
ga_gnn,GA + GNN surrogate,163,14.698461,1335,49.369572
ga_gnn,GA + GNN surrogate,164,14.783089,1344,49.369572
ga_gnn,GA + GNN surrogate,165,14.869364,1353,49.369572
ga_gnn,GA + GNN surrogate,166,14.957470,1362,49.369572
ga_gnn,GA + GNN surrogate,167,15.043445,1371,49.369572
ga_gnn,GA + GNN surrogate,168,15.128537,1380,49.369572
ga_gnn,GA + GNN surrogate,169,15.213785,1389,49.369572
ga_gnn,GA + GNN surrogate,170,15.298242,1398,49.369572
ga_gnn,GA + GNN surrogate,171,15.384641,1407,49.369572
ga_gnn,GA + GNN surrogate,172,15.471897,1416,49.369572
